unix_date,date,case_tool_54,failed,failed_tools
1540317017,2018-10-23 13:50:00,1,,
1540317196,2018-10-23 13:53:00,1,,
1540317374,2018-10-23 13:56:00,1,,
1540317553,2018-10-23 13:59:00,1,,
1542289038,2018-11-15 08:37:00,2,,
1542289162,2018-11-15 08:39:00,2,,
1542289286,2018-11-15 08:41:00,2,,
1542289410,2018-11-15 08:43:00,2,,
1542289534,2018-11-15 08:45:00,2,,
1542289657,2018-11-15 08:47:00,2,,
1542289781,2018-11-15 08:49:00,2,,
1542289905,2018-11-15 08:51:00,2,,
1542290029,2018-11-15 08:53:00,2,,
1542290153,2018-11-15 08:55:00,2,,
1542290277,2018-11-15 08:57:00,2,,
1542290401,2018-11-15 09:00:00,2,,
1542290525,2018-11-15 09:02:00,2,,
1542290649,2018-11-15 09:04:00,2,,
1542290772,2018-11-15 09:06:00,2,,
1542290897,2018-11-15 09:08:00,2,,
1542291021,2018-11-15 09:10:00,2,,
1542291144,2018-11-15 09:12:00,2,,
1542291268,2018-11-15 09:14:00,2,,
1542291393,2018-11-15 09:16:00,2,,
1542291517,2018-11-15 09:18:00,2,,
1542291641,2018-11-15 09:20:00,2,,
1542291765,2018-11-15 09:22:00,2,,
1542291888,2018-11-15 09:24:00,2,,
1542292012,2018-11-15 09:26:00,2,,
1542292137,2018-11-15 09:28:00,2,,
1542292261,2018-11-15 09:31:00,2,,
1542292385,2018-11-15 09:33:00,2,,
1542292509,2018-11-15 09:35:00,2,,
1542292632,2018-11-15 09:37:00,2,,
1542292757,2018-11-15 09:39:00,2,,
1542293189,2018-11-15 09:46:00,2,,
1542293382,2018-11-15 09:49:00,2,,
1542293565,2018-11-15 09:52:00,2,,
1542293809,2018-11-15 09:56:00,2,,
1542294183,2018-11-15 10:03:00,2,,
1542294307,2018-11-15 10:05:00,2,,
1542294431,2018-11-15 10:07:00,2,,
1542294555,2018-11-15 10:09:00,2,,
1542294679,2018-11-15 10:11:00,2,,
1542294803,2018-11-15 10:13:00,2,,
1542294927,2018-11-15 10:15:00,2,,
1542295051,2018-11-15 10:17:00,2,,
1542295175,2018-11-15 10:19:00,2,,
1542295299,2018-11-15 10:21:00,2,,
1542295423,2018-11-15 10:23:00,2,,
1542295547,2018-11-15 10:25:00,2,,
1542295671,2018-11-15 10:27:00,2,,
1542295795,2018-11-15 10:29:00,2,,
1542295919,2018-11-15 10:31:00,2,,
1542296043,2018-11-15 10:34:00,2,,
1542296167,2018-11-15 10:36:00,2,,
1542296291,2018-11-15 10:38:00,2,,
1542296415,2018-11-15 10:40:00,2,,
1542296539,2018-11-15 10:42:00,2,,
1542296663,2018-11-15 10:44:00,2,,
1542296787,2018-11-15 10:46:00,2,,
1542296911,2018-11-15 10:48:00,2,,
1542298670,2018-11-15 11:17:00,2,,
1542298794,2018-11-15 11:19:00,2,,
1542298918,2018-11-15 11:21:00,2,,
1542299042,2018-11-15 11:24:00,2,,
1542299167,2018-11-15 11:26:00,2,,
1542299290,2018-11-15 11:28:00,2,,
1542299415,2018-11-15 11:30:00,2,,
1542299539,2018-11-15 11:32:00,2,,
1542299663,2018-11-15 11:34:00,2,,
1542299787,2018-11-15 11:36:00,2,,
1542299911,2018-11-15 11:38:00,2,,
1542300035,2018-11-15 11:40:00,2,,
1542300159,2018-11-15 11:42:00,2,,
1542300283,2018-11-15 11:44:00,2,,
1542300407,2018-11-15 11:46:00,2,,
1542300531,2018-11-15 11:48:00,2,,
1542300655,2018-11-15 11:50:00,2,,
1542300779,2018-11-15 11:52:00,2,,
1542300902,2018-11-15 11:55:00,2,,
1542301026,2018-11-15 11:57:00,2,,
1542301150,2018-11-15 11:59:00,2,,
1542301275,2018-11-15 12:01:00,2,,
1542301398,2018-11-15 12:03:00,2,,
1542301522,2018-11-15 12:05:00,2,,
1542301647,2018-11-15 12:07:00,2,,
1542301770,2018-11-15 12:09:00,2,,
1542301894,2018-11-15 12:11:00,2,,
1542302019,2018-11-15 12:13:00,2,,
1542302142,2018-11-15 12:15:00,2,,
1542302266,2018-11-15 12:17:00,2,,
1542302389,2018-11-15 12:19:00,2,,
1542302513,2018-11-15 12:21:00,2,,
1542302638,2018-11-15 12:23:00,2,,
1542302762,2018-11-15 12:26:00,2,,
1542302885,2018-11-15 12:28:00,2,,
1542303009,2018-11-15 12:30:00,2,,
1542303133,2018-11-15 12:32:00,2,,
1542303257,2018-11-15 12:34:00,2,,
1542303381,2018-11-15 12:36:00,2,,
1542303505,2018-11-15 12:38:00,2,,
1542303629,2018-11-15 12:40:00,2,,
1542303752,2018-11-15 12:42:00,2,,
1542303877,2018-11-15 12:44:00,2,,
1542304000,2018-11-15 12:46:00,2,,
1542304125,2018-11-15 12:48:00,2,,
1542304248,2018-11-15 12:50:00,2,,
1542304372,2018-11-15 12:52:00,2,,
1542304496,2018-11-15 12:54:00,2,,
1542304620,2018-11-15 12:57:00,2,,
1542304744,2018-11-15 12:59:00,2,,
1542304867,2018-11-15 13:01:00,2,,
1542304991,2018-11-15 13:03:00,2,,
1542305115,2018-11-15 13:05:00,2,,
1542305239,2018-11-15 13:07:00,2,,
1542305363,2018-11-15 13:09:00,2,,
1542305486,2018-11-15 13:11:00,2,,
1542305797,2018-11-15 13:16:00,2,,
1542305921,2018-11-15 13:18:00,2,,
1542306045,2018-11-15 13:20:00,2,,
1542306169,2018-11-15 13:22:00,2,,
1542306293,2018-11-15 13:24:00,2,,
1542306417,2018-11-15 13:26:00,2,,
1542306541,2018-11-15 13:29:00,2,,
1542306665,2018-11-15 13:31:00,2,,
1542306789,2018-11-15 13:33:00,2,,
1542306913,2018-11-15 13:35:00,2,,
1542307037,2018-11-15 13:37:00,2,,
1542307161,2018-11-15 13:39:00,2,,
1542307285,2018-11-15 13:41:00,2,,
1542307409,2018-11-15 13:43:00,2,,
1542307533,2018-11-15 13:45:00,2,,
1542307657,2018-11-15 13:47:00,2,,
1542307781,2018-11-15 13:49:00,2,,
1542307905,2018-11-15 13:51:00,2,,
1542308029,2018-11-15 13:53:00,2,,
1542308152,2018-11-15 13:55:00,2,,
1542308276,2018-11-15 13:57:00,2,,
1542308400,2018-11-15 14:00:00,2,,
1542308524,2018-11-15 14:02:00,2,,
1542308647,2018-11-15 14:04:00,2,,
1542308771,2018-11-15 14:06:00,2,,
1542308895,2018-11-15 14:08:00,2,,
1542309019,2018-11-15 14:10:00,2,,
1542309143,2018-11-15 14:12:00,2,,
1542309267,2018-11-15 14:14:00,2,,
1542309391,2018-11-15 14:16:00,2,,
1542309515,2018-11-15 14:18:00,2,,
1542309639,2018-11-15 14:20:00,2,,
1542309763,2018-11-15 14:22:00,2,,
1542309886,2018-11-15 14:24:00,2,,
1542310011,2018-11-15 14:26:00,2,,
1542310135,2018-11-15 14:28:00,2,,
1542310258,2018-11-15 14:30:00,2,,
1542310382,2018-11-15 14:33:00,2,,
1542310506,2018-11-15 14:35:00,2,,
1542310631,2018-11-15 14:37:00,2,,
1542310754,2018-11-15 14:39:00,2,,
1542310878,2018-11-15 14:41:00,2,,
1542311002,2018-11-15 14:43:00,2,,
1542311126,2018-11-15 14:45:00,2,,
1542311250,2018-11-15 14:47:00,2,,
1542311373,2018-11-15 14:49:00,2,,
1542311497,2018-11-15 14:51:00,2,1,54
1542311621,2018-11-15 14:53:00,2,1,54
1542311745,2018-11-15 14:55:00,2,1,54
1542311868,2018-11-15 14:57:00,2,1,54
1542311992,2018-11-15 14:59:00,2,1,54
1542313178,2018-11-15 15:19:00,2,1,54
1542313302,2018-11-15 15:21:00,2,1,54
1542313426,2018-11-15 15:23:00,2,1,54
1542313550,2018-11-15 15:25:00,2,1,54
1542313674,2018-11-15 15:27:00,2,1,54
1542313798,2018-11-15 15:29:00,2,1,54
1542313922,2018-11-15 15:32:00,2,1,54
1542314046,2018-11-15 15:34:00,2,1,54
1542314170,2018-11-15 15:36:00,2,1,54
1542314294,2018-11-15 15:38:00,2,1,54
1542314545,2018-11-15 15:42:00,2,2,2 6 8 11 22 23 32 36 37 54 57 
1542314674,2018-11-15 15:44:00,3,,
1542314798,2018-11-15 15:46:00,3,,
1542314923,2018-11-15 15:48:00,3,,
1542315046,2018-11-15 15:50:00,3,,
1542315170,2018-11-15 15:52:00,3,,
1542315294,2018-11-15 15:54:00,3,,
1542315418,2018-11-15 15:56:00,3,,
1542315542,2018-11-15 15:59:00,3,,
1542315666,2018-11-15 16:01:00,3,,
1542315789,2018-11-15 16:03:00,3,,
1542315913,2018-11-15 16:05:00,3,,
1542316037,2018-11-15 16:07:00,3,,
1542316161,2018-11-15 16:09:00,3,,
1542316285,2018-11-15 16:11:00,3,,
1542316409,2018-11-15 16:13:00,3,,
1542316532,2018-11-15 16:15:00,3,,
1542316657,2018-11-15 16:17:00,3,,
1542316928,2018-11-15 16:22:00,3,,
1542317052,2018-11-15 16:24:00,3,,
1542317176,2018-11-15 16:26:00,3,,
1542317300,2018-11-15 16:28:00,3,,
1542375235,2018-11-16 08:33:00,4,,
1542375358,2018-11-16 08:35:00,4,,
1542375483,2018-11-16 08:38:00,4,,
1542375606,2018-11-16 08:40:00,4,,
1542375730,2018-11-16 08:42:00,4,,
1542375854,2018-11-16 08:44:00,4,,
1542375978,2018-11-16 08:46:00,4,,
1542376102,2018-11-16 08:48:00,4,,
1542376226,2018-11-16 08:50:00,4,,
1542376350,2018-11-16 08:52:00,4,,
1542376474,2018-11-16 08:54:00,4,,
1542376598,2018-11-16 08:56:00,4,,
1542376722,2018-11-16 08:58:00,4,,
1542376846,2018-11-16 09:00:00,4,,
1542376970,2018-11-16 09:02:00,4,,
1542377094,2018-11-16 09:04:00,4,,
1542377218,2018-11-16 09:06:00,4,,
1542377342,2018-11-16 09:09:00,4,,
1542377465,2018-11-16 09:11:00,4,,
1542377589,2018-11-16 09:13:00,4,,
1542377713,2018-11-16 09:15:00,4,,
1542377837,2018-11-16 09:17:00,4,,
1542377961,2018-11-16 09:19:00,4,,
1542378085,2018-11-16 09:21:00,4,,
1542378209,2018-11-16 09:23:00,4,,
1542378333,2018-11-16 09:25:00,4,,
1542378457,2018-11-16 09:27:00,4,,
1542378581,2018-11-16 09:29:00,4,,
1542378704,2018-11-16 09:31:00,4,,
1542378828,2018-11-16 09:33:00,4,,
1542378952,2018-11-16 09:35:00,4,,
1542379076,2018-11-16 09:37:00,4,,
1542379199,2018-11-16 09:39:00,4,,
1542379324,2018-11-16 09:42:00,4,,
1542379448,2018-11-16 09:44:00,4,,
1542379572,2018-11-16 09:46:00,4,,
1542379695,2018-11-16 09:48:00,4,,
1542379820,2018-11-16 09:50:00,4,,
1542379944,2018-11-16 09:52:00,4,,
1542380067,2018-11-16 09:54:00,4,,
1542380191,2018-11-16 09:56:00,4,,
1542380315,2018-11-16 09:58:00,4,,
1542380652,2018-11-16 10:04:00,4,,
1542380776,2018-11-16 10:06:00,4,,
1542380900,2018-11-16 10:08:00,4,,
1542381024,2018-11-16 10:10:00,4,,
1542381148,2018-11-16 10:12:00,4,,
1542381272,2018-11-16 10:14:00,4,,
1542381396,2018-11-16 10:16:00,4,,
1542381520,2018-11-16 10:18:00,4,,
1542381644,2018-11-16 10:20:00,4,,
1542381768,2018-11-16 10:22:00,4,,
1542381892,2018-11-16 10:24:00,4,,
1542382016,2018-11-16 10:26:00,4,,
1542382140,2018-11-16 10:29:00,4,,
1542382265,2018-11-16 10:31:00,4,,
1542382388,2018-11-16 10:33:00,4,,
1542382512,2018-11-16 10:35:00,4,,
1542382636,2018-11-16 10:37:00,4,,
1542382760,2018-11-16 10:39:00,4,,
1542382884,2018-11-16 10:41:00,4,,
1542383008,2018-11-16 10:43:00,4,,
1542383132,2018-11-16 10:45:00,4,,
1542383256,2018-11-16 10:47:00,4,,
1542383380,2018-11-16 10:49:00,4,,
1542383504,2018-11-16 10:51:00,4,,
1542383627,2018-11-16 10:53:00,4,,
1542383751,2018-11-16 10:55:00,4,,
1542383876,2018-11-16 10:57:00,4,,
1542383999,2018-11-16 10:59:00,4,,
1542384123,2018-11-16 11:02:00,4,,
1542384248,2018-11-16 11:04:00,4,,
1542384371,2018-11-16 11:06:00,4,,
1542384496,2018-11-16 11:08:00,4,,
1542384620,2018-11-16 11:10:00,4,,
1542384744,2018-11-16 11:12:00,4,,
1542384867,2018-11-16 11:14:00,4,,
1542384992,2018-11-16 11:16:00,4,,
1542385115,2018-11-16 11:18:00,4,,
1542385239,2018-11-16 11:20:00,4,,
1542385364,2018-11-16 11:22:00,4,,
1542385487,2018-11-16 11:24:00,4,,
1542385611,2018-11-16 11:26:00,4,,
1542385735,2018-11-16 11:28:00,4,,
1542385859,2018-11-16 11:30:00,4,,
1542385983,2018-11-16 11:33:00,4,,
1542386107,2018-11-16 11:35:00,4,,
1542386231,2018-11-16 11:37:00,4,,
1542386355,2018-11-16 11:39:00,4,,
1542386480,2018-11-16 11:41:00,4,,
1542386603,2018-11-16 11:43:00,4,,
1542386727,2018-11-16 11:45:00,4,,
1542386851,2018-11-16 11:47:00,4,,
1542386975,2018-11-16 11:49:00,4,,
1542387099,2018-11-16 11:51:00,4,,
1542387223,2018-11-16 11:53:00,4,,
1542387347,2018-11-16 11:55:00,4,,
1542387471,2018-11-16 11:57:00,4,,
1542387594,2018-11-16 11:59:00,4,,
1542387718,2018-11-16 12:01:00,4,,
1542387842,2018-11-16 12:04:00,4,,
1542387966,2018-11-16 12:06:00,4,,
1542388090,2018-11-16 12:08:00,4,,
1542388214,2018-11-16 12:10:00,4,,
1542388338,2018-11-16 12:12:00,4,,
1542388462,2018-11-16 12:14:00,4,,
1542388586,2018-11-16 12:16:00,4,,
1542388710,2018-11-16 12:18:00,4,,
1542388834,2018-11-16 12:20:00,4,,
1542388958,2018-11-16 12:22:00,4,,
1542389082,2018-11-16 12:24:00,4,,
1542389205,2018-11-16 12:26:00,4,,
1542389330,2018-11-16 12:28:00,4,,
1542389454,2018-11-16 12:30:00,4,,
1542389577,2018-11-16 12:32:00,4,,
1542389701,2018-11-16 12:35:00,4,,
1542389825,2018-11-16 12:37:00,4,,
1542389949,2018-11-16 12:39:00,4,,
1542390073,2018-11-16 12:41:00,4,,
1542390196,2018-11-16 12:43:00,4,,
1542390320,2018-11-16 12:45:00,4,,
1542390607,2018-11-16 12:50:00,4,,
1542390731,2018-11-16 12:52:00,4,,
1542390855,2018-11-16 12:54:00,4,,
1542390979,2018-11-16 12:56:00,4,,
1542391103,2018-11-16 12:58:00,4,,
1542391226,2018-11-16 13:00:00,4,,
1542391350,2018-11-16 13:02:00,4,,
1542391474,2018-11-16 13:04:00,4,,
1542391598,2018-11-16 13:06:00,4,,
1542391722,2018-11-16 13:08:00,4,,
1542391845,2018-11-16 13:10:00,4,,
1542391969,2018-11-16 13:12:00,4,,
1542392093,2018-11-16 13:14:00,4,,
1542392217,2018-11-16 13:16:00,4,,
1542392341,2018-11-16 13:19:00,4,,
1542392464,2018-11-16 13:21:00,4,,
1542392588,2018-11-16 13:23:00,4,,
1542392712,2018-11-16 13:25:00,4,,
1542392836,2018-11-16 13:27:00,4,,
1542392960,2018-11-16 13:29:00,4,,
1542393083,2018-11-16 13:31:00,4,,
1542393208,2018-11-16 13:33:00,4,,
1542393331,2018-11-16 13:35:00,4,,
1542393455,2018-11-16 13:37:00,4,,
1542393579,2018-11-16 13:39:00,4,,
1542393703,2018-11-16 13:41:00,4,,
1542393827,2018-11-16 13:43:00,4,,
1542393951,2018-11-16 13:45:00,4,,
1542394075,2018-11-16 13:47:00,4,,
1542394198,2018-11-16 13:49:00,4,,
1542394322,2018-11-16 13:52:00,4,,
1542394447,2018-11-16 13:54:00,4,,
1542394570,2018-11-16 13:56:00,4,,
1542394694,2018-11-16 13:58:00,4,,
1542394818,2018-11-16 14:00:00,4,,
1542395836,2018-11-16 14:17:00,4,,
1542395961,2018-11-16 14:19:00,4,,
1542396084,2018-11-16 14:21:00,4,,
1542396208,2018-11-16 14:23:00,4,,
1542396332,2018-11-16 14:25:00,4,,
1542396456,2018-11-16 14:27:00,4,,
1542396580,2018-11-16 14:29:00,4,,
1542396703,2018-11-16 14:31:00,4,,
1542396827,2018-11-16 14:33:00,4,,
1542396951,2018-11-16 14:35:00,4,,
1542397075,2018-11-16 14:37:00,4,,
1542397200,2018-11-16 14:40:00,4,,
1542397323,2018-11-16 14:42:00,4,,
1542397447,2018-11-16 14:44:00,4,,
1542397571,2018-11-16 14:46:00,4,,
1542397694,2018-11-16 14:48:00,4,,
1542397818,2018-11-16 14:50:00,4,,
1542397942,2018-11-16 14:52:00,4,,
1542398066,2018-11-16 14:54:00,4,,
1542398190,2018-11-16 14:56:00,4,,
1542398314,2018-11-16 14:58:00,4,,
1542398438,2018-11-16 15:00:00,4,,
1542398562,2018-11-16 15:02:00,4,,
1542398685,2018-11-16 15:04:00,4,,
1542398809,2018-11-16 15:06:00,4,,
1542398933,2018-11-16 15:08:00,4,,
1542399057,2018-11-16 15:10:00,4,,
1542399181,2018-11-16 15:13:00,4,,
1542399304,2018-11-16 15:15:00,4,,
1542399428,2018-11-16 15:17:00,4,,
1542399552,2018-11-16 15:19:00,4,,
1542399676,2018-11-16 15:21:00,4,,
1542399800,2018-11-16 15:23:00,4,,
1542399924,2018-11-16 15:25:00,4,,
1542400047,2018-11-16 15:27:00,4,,
1542400171,2018-11-16 15:29:00,4,,
1542400295,2018-11-16 15:31:00,4,,
1542400419,2018-11-16 15:33:00,4,,
1542400543,2018-11-16 15:35:00,4,,
1542400667,2018-11-16 15:37:00,4,,
1542400790,2018-11-16 15:39:00,4,,
1542400914,2018-11-16 15:41:00,4,,
1542401038,2018-11-16 15:43:00,4,,
1542401162,2018-11-16 15:46:00,4,,
1542401425,2018-11-16 15:50:00,4,,
1542401549,2018-11-16 15:52:00,4,,
1542401672,2018-11-16 15:54:00,4,,
1542401796,2018-11-16 15:56:00,4,,
1542401920,2018-11-16 15:58:00,4,,
1542402044,2018-11-16 16:00:00,4,,
1542402168,2018-11-16 16:02:00,4,,
1542402292,2018-11-16 16:04:00,4,,
1542402416,2018-11-16 16:06:00,4,,
1542402539,2018-11-16 16:08:00,4,,
1542402663,2018-11-16 16:11:00,4,,
1542402787,2018-11-16 16:13:00,4,,
1542402911,2018-11-16 16:15:00,4,,
1542403035,2018-11-16 16:17:00,4,,
1542403159,2018-11-16 16:19:00,4,,
1542403283,2018-11-16 16:21:00,4,,
1542403406,2018-11-16 16:23:00,4,,
1542403530,2018-11-16 16:25:00,4,,
1542403654,2018-11-16 16:27:00,4,,
1542636305,2018-11-19 09:05:00,5,,
1542636428,2018-11-19 09:07:00,5,,
1542636552,2018-11-19 09:09:00,5,,
1542636677,2018-11-19 09:11:00,5,,
1542636801,2018-11-19 09:13:00,5,,
1542636925,2018-11-19 09:15:00,5,,
1542637049,2018-11-19 09:17:00,5,,
1542637173,2018-11-19 09:19:00,5,,
1542637297,2018-11-19 09:21:00,5,,
1542637422,2018-11-19 09:23:00,5,,
1542637545,2018-11-19 09:25:00,5,,
1542637669,2018-11-19 09:27:00,5,,
1542637793,2018-11-19 09:29:00,5,,
1542637917,2018-11-19 09:31:00,5,,
1542638041,2018-11-19 09:34:00,5,,
1542638165,2018-11-19 09:36:00,5,,
1542638289,2018-11-19 09:38:00,5,,
1542638413,2018-11-19 09:40:00,5,,
1542638537,2018-11-19 09:42:00,5,,
1542638661,2018-11-19 09:44:00,5,,
1542638786,2018-11-19 09:46:00,5,,
1542638909,2018-11-19 09:48:00,5,,
1542639034,2018-11-19 09:50:00,5,,
1542639157,2018-11-19 09:52:00,5,,
1542639281,2018-11-19 09:54:00,5,,
1542639406,2018-11-19 09:56:00,5,,
1542639529,2018-11-19 09:58:00,5,,
1542639654,2018-11-19 10:00:00,5,,
1542639777,2018-11-19 10:02:00,5,,
1542639901,2018-11-19 10:05:00,5,,
1542640025,2018-11-19 10:07:00,5,,
1542640149,2018-11-19 10:09:00,5,,
1542640273,2018-11-19 10:11:00,5,,
1542640396,2018-11-19 10:13:00,5,,
1542640520,2018-11-19 10:15:00,5,,
1542640644,2018-11-19 10:17:00,5,,
1542640768,2018-11-19 10:19:00,5,,
1542640892,2018-11-19 10:21:00,5,,
1542641016,2018-11-19 10:23:00,5,,
1542641140,2018-11-19 10:25:00,5,,
1542641264,2018-11-19 10:27:00,5,,
1542641388,2018-11-19 10:29:00,5,,
1542641512,2018-11-19 10:31:00,5,,
1542641636,2018-11-19 10:33:00,5,,
1542641760,2018-11-19 10:36:00,5,,
1542641884,2018-11-19 10:38:00,5,,
1542642008,2018-11-19 10:40:00,5,,
1542642132,2018-11-19 10:42:00,5,,
1542642256,2018-11-19 10:44:00,5,,
1542642380,2018-11-19 10:46:00,5,,
1542642504,2018-11-19 10:48:00,5,,
1542642628,2018-11-19 10:50:00,5,,
1542642752,2018-11-19 10:52:00,5,,
1542642876,2018-11-19 10:54:00,5,,
1542642999,2018-11-19 10:56:00,5,,
1542643123,2018-11-19 10:58:00,5,,
1542643247,2018-11-19 11:00:00,5,,
1542643372,2018-11-19 11:02:00,5,,
1542643496,2018-11-19 11:04:00,5,,
1542643619,2018-11-19 11:06:00,5,,
1542643744,2018-11-19 11:09:00,5,,
1542643867,2018-11-19 11:11:00,5,,
1542643992,2018-11-19 11:13:00,5,,
1542644116,2018-11-19 11:15:00,5,,
1542644451,2018-11-19 11:20:00,5,,
1542644575,2018-11-19 11:22:00,5,,
1542644700,2018-11-19 11:25:00,5,,
1542644824,2018-11-19 11:27:00,5,,
1542644948,2018-11-19 11:29:00,5,,
1542645072,2018-11-19 11:31:00,5,,
1542645196,2018-11-19 11:33:00,5,,
1542645320,2018-11-19 11:35:00,5,,
1542645445,2018-11-19 11:37:00,5,,
1542645568,2018-11-19 11:39:00,5,,
1542645692,2018-11-19 11:41:00,5,,
1542645817,2018-11-19 11:43:00,5,,
1542645940,2018-11-19 11:45:00,5,,
1542646065,2018-11-19 11:47:00,5,,
1542646188,2018-11-19 11:49:00,5,,
1542646313,2018-11-19 11:51:00,5,,
1542646436,2018-11-19 11:53:00,5,,
1542646560,2018-11-19 11:56:00,5,,
1542646685,2018-11-19 11:58:00,5,,
1542646808,2018-11-19 12:00:00,5,,
1542646933,2018-11-19 12:02:00,5,,
1542647057,2018-11-19 12:04:00,5,,
1542647181,2018-11-19 12:06:00,5,,
1542647305,2018-11-19 12:08:00,5,,
1542647429,2018-11-19 12:10:00,5,,
1542647553,2018-11-19 12:12:00,5,,
1542647678,2018-11-19 12:14:00,5,,
1542647801,2018-11-19 12:16:00,5,,
1542647925,2018-11-19 12:18:00,5,,
1542648049,2018-11-19 12:20:00,5,,
1542648174,2018-11-19 12:22:00,5,,
1542648297,2018-11-19 12:24:00,5,,
1542648422,2018-11-19 12:27:00,5,,
1542648546,2018-11-19 12:29:00,5,,
1542648670,2018-11-19 12:31:00,5,,
1542648794,2018-11-19 12:33:00,5,,
1542648918,2018-11-19 12:35:00,5,,
1542649042,2018-11-19 12:37:00,5,,
1542649166,2018-11-19 12:39:00,5,,
1542649290,2018-11-19 12:41:00,5,,
1542649414,2018-11-19 12:43:00,5,,
1542649537,2018-11-19 12:45:00,5,,
1542649662,2018-11-19 12:47:00,5,,
1542649785,2018-11-19 12:49:00,5,,
1542649910,2018-11-19 12:51:00,5,,
1542650033,2018-11-19 12:53:00,5,,
1542650158,2018-11-19 12:55:00,5,,
1542650282,2018-11-19 12:58:00,5,,
1542650406,2018-11-19 13:00:00,5,,
1542650530,2018-11-19 13:02:00,5,,
1542650654,2018-11-19 13:04:00,5,,
